station_name,covered_by
2nd St at Folsom St,Lafayette Park (Laguna St at Washington St)
2nd St at Folsom St,Balboa Park (San Jose Ave at Sgt. John V. Young Ln
2nd St at Folsom St,Onondaga Ave at Alemany Blvd
2nd St at Folsom St,North Point St at Divisadero St
2nd St at Folsom St,Filbert St at Fillmore St
2nd St at Folsom St,Geneva Ave at Moscow St
2nd St at Folsom St,Allyne Park (Green St at Gough St)
2nd St at Folsom St,Fillmore St at Jefferson St
2nd St at Folsom St,Glen Park BART Station
2nd St at Folsom St,24th St at Bartlett St
2nd St at Folsom St,Otis St at Brady St
2nd St at Folsom St,Buchanan St at North Point St
2nd St at Folsom St,The Embarcadero at Pier 38
2nd St at Folsom St,Front St at California St
2nd St at Folsom St,5th St at Brannan St
2nd St at Folsom St,Washington St at Van Ness Ave
2nd St at Folsom St,16th St Mission BART
2nd St at Folsom St,Terry Francois Blvd at Warriors Way
2nd St at Folsom St,Haight St at Lyon St
2nd St at Folsom St,Gennessee St at Monterey Blvd
2nd St at Folsom St,Victoria Manalo Draves Park
2nd St at Folsom St,Mint St at Mission St
2nd St at Folsom St,Broadway at Kearny St
2nd St at Folsom St,Guerrero Park
2nd St at Folsom St,29th St at Church St
2nd St at Folsom St,Cesar Chavez St at Dolores St
2nd St at Folsom St,Utah St at 24th St
2nd St at Folsom St,22nd St at Potrero Ave
2nd St at Folsom St,20th St at Bryant St
2nd St at Folsom St,18th St at Noe St
2nd St at Folsom St,30th St at San Jose Ave
2nd St at Folsom St,Precita Park
2nd St at Folsom St,Indiana St at Cesar Chavez St
2nd St at Folsom St,Williams Ave at Apollo St
2nd St at Folsom St,Evans Ave at Mendell St
2nd St at Folsom St,7th St at Brannan St
2nd St at Folsom St,38th Ave at Balboa St
2nd St at Folsom St,21st Ave at Geary Blvd
2nd St at Folsom St,San Francisco Caltrain Station (King St at 4th St)
2nd St at Folsom St,Bryant St at 6th St
2nd St at Folsom St,11th St at Natoma St
2nd St at Folsom St,Brannan St at 4th St
2nd St at Folsom St,Folsom St at 7th St
2nd St at Folsom St,Arguello Blvd at Geary Blvd
